name,description,stars,install_command,verified,repo_url,screenshots
dsh-computer-use,"为 DeepSeek Harness 提供电脑控制插件：新鲜 Accessibility 观测、过期状态拒绝、作用域权限与安全输入（目前支持macos）｜Accessibility-first macOS Computer Use bundle for DSH with fresh observations, stale-state rejection, scoped permissions, and safe input.",28,dsh plugin --profile web add @anionex/dsh-computer-use,true,https://github.com/Anionex/dsh-computer-use,https://raw.githubusercontent.com/Anionex/dsh-computer-use/HEAD/assets/computer-use-fixture.png
dsh-whale-report,"深迹 DeepTrace — Your Agent, in numbers. DSH 插件：从会话事件日志生成日报/周报/月报/年报/自定义区间，确定性洞察与协作复盘，只读、不改写历史。",28,"dsh plugin --profile web add ""github:SenmuuuuW/dsh-whale-report""",true,https://github.com/SenmuuuuW/dsh-whale-report,https://raw.githubusercontent.com/SenmuuuuW/dsh-whale-report/HEAD/assets/whale/whale-happy.svg;https://raw.githubusercontent.com/SenmuuuuW/dsh-whale-report/HEAD/docs/images/deeptrace-overview.png;https://raw.githubusercontent.com/SenmuuuuW/dsh-whale-report/HEAD/docs/images/overview.png;https://raw.githubusercontent.com/SenmuuuuW/dsh-whale-report/HEAD/docs/images/report.png
dsh-lark-link,"High-reliability Feishu/Lark bridge for DeepSeek Harness — QR one-click auth, multi-mode agents, card-based commands, zero-loss outbox, media in/out, session-log doctor, reusable DSH Web GUI",27,dsh plugin --profile web add dsh-lark-link@latest --ignore-scripts,true,https://github.com/amlyczz/dsh-lark-link,
dsh-plugin-marketplace,"Plugin marketplace for DeepSeek Harness — live-syncs the GitHub dsh-plugin topic (1800+ repos) into a searchable, paginated settings tab with one-click install and agent tools (market_search / market_install).",27,dsh plugin --profile web add https://github.com/AwesomeHou/dsh-plugin-marketplace,true,https://github.com/AwesomeHou/dsh-plugin-marketplace,https://raw.githubusercontent.com/AwesomeHou/dsh-plugin-marketplace/HEAD/screenshot1.png;https://raw.githubusercontent.com/AwesomeHou/dsh-plugin-marketplace/HEAD/screenshot2.png
dsh-tui,"Claude Code-style terminal UI for DeepSeek Harness agents, as an out-of-tree dsh plugin bundle",27,dsh plugin --profile tui add @dsh-tui/dsh-tui,true,https://github.com/dsh-tui/dsh-tui,https://raw.githubusercontent.com/dsh-tui/dsh-tui/HEAD/docs/tui.png
dsh-chat-timeline,1:1 port of DeepSeek's official web right-side chat navigation rail (ScrollNav) as a DeepSeek Harness (DSH) plugin,27,dsh plugin add dsh-chat-timeline,true,https://github.com/jjxjjjjiik-bot/dsh-chat-timeline,https://raw.githubusercontent.com/jjxjjjjiik-bot/dsh-chat-timeline/HEAD/assets/screenshot-1.png;https://raw.githubusercontent.com/jjxjjjjiik-bot/dsh-chat-timeline/HEAD/assets/screenshot-2.png
deepseek-harness-workbench-plugin,Deepseek-harness-workbench-plugin,27,dsh plugin --profile web add github:loadingvx/deepseek-harness-workbench-plugin,true,https://github.com/loadingvx/deepseek-harness-workbench-plugin,https://repository-images.githubusercontent.com/1334909671/b0122e99-a9e7-49b5-803b-a4ab20e1b854;https://raw.githubusercontent.com/loadingvx/deepseek-harness-workbench-plugin/HEAD/docs/img/social-preview.jpg;https://raw.githubusercontent.com/loadingvx/deepseek-harness-workbench-plugin/HEAD/docs/img/screen_shot_0.png;https://raw.githubusercontent.com/loadingvx/deepseek-harness-workbench-plugin/HEAD/docs/img/screen_shot_1.png
dsh-usage-stats,DeepSeek Harness 插件：GitHub 风格用量热力图 + Token / 缓存命中 / 账户余额看板 + 工作区别名管理。,27,dsh plugin --profile web add dsh-usage-stats,true,https://github.com/Make0209/dsh-usage-stats,https://raw.githubusercontent.com/Make0209/dsh-usage-stats/HEAD/assets/screenshot-1.png;https://raw.githubusercontent.com/Make0209/dsh-usage-stats/HEAD/assets/screenshot-2.png
dsh-plugin-check,Check a plugin's manifest before you ship it,27,dsh plugin --profile web add github:omdsh-dev/dsh-plugin-check,true,https://github.com/omdsh-dev/dsh-plugin-check,
dsh-code,Claude-Code-style TUI bundle for DeepSeek Harness. 充分结合 DSH 的核心机制和高级特性与Codex CLI 、Claude Code 等主流交互机制，打造的 DSH-Code. （对齐DSH官方上游最新版本！持续更新中！支持DSH 特殊模式，插件系统，模型管理，子代理管理，切换模型特殊动画）,27,dsh plugin --profile cli add github:unlinearity/dsh-code,true,https://github.com/UNLINEARITY/dsh-code,https://raw.githubusercontent.com/UNLINEARITY/dsh-code/HEAD/docs/pictures/dsh-1.png;https://raw.githubusercontent.com/UNLINEARITY/dsh-code/HEAD/docs/pictures/dsh-3.png;https://raw.githubusercontent.com/UNLINEARITY/dsh-code/HEAD/docs/pictures/dsh-4.png;https://raw.githubusercontent.com/UNLINEARITY/dsh-code/HEAD/docs/pictures/dsh-2.png
dsh-science,,26,"dsh plugin --profile web add ""github:biociao/dsh-science""",true,https://github.com/biociao/dsh-science,https://github.com/user-attachments/assets/b6ef210f-6081-42b7-91fd-484f554c955e
dsh-tavern,DSH 原生酒馆管理面板，入口：设置 → 通用设置 → 酒馆管理（原生）。多角色卡/多世界书/多预设，会话级预设隔离；世界书智能关键词注入省 60-70% 上下文；记忆总结 + 角色关系网；剧情选项一键发送；创作/扮演双模式；NSFW 成人模式。免费非商用（CC BY-NC-SA 4.0）。安装：dsh plugin --profile web add dsh-tavern,26,dsh plugin add dsh-tavern,true,https://github.com/chen731215-dev/dsh-tavern,
dsh-toolkit,DSH 零依赖工具包 collection —— time / encoding / json / calculator / csv / regex / markdown / diff / stat / schema 十个确定性工具，统一入口一键安装,26,dsh plugin --profile web add github:omdsh-dev/dsh-toolkit,true,https://github.com/omdsh-dev/dsh-toolkit,
custom-first-control-prompt,DeepSeek Harness plugin for insert custom prompt,26,dsh plugin --profile web add @wm-coders/dsh-custom-first-control-prompt,true,https://github.com/WM-CODER/custom-first-control-prompt,
dsh-web-lan-access,DeepSeek Harness (dsh) Web plugin,25,dsh plugin --profile web add github:AcidGr/dsh-web-lan-access,true,https://github.com/AcidGr/dsh-web-lan-access,
dsh-plugin-better-sidebar-plugin-office,为 better-sidebar 提供 Office 三件套预览（.docx/.xlsx/.pptx），独立 bundle 瘦身主体 | Provides Office-suite preview (.docx/.xlsx/.pptx) for better-sidebar as a separate bundle to slim the core,25,dsh plugin --profile web add @huanlin/dsh-plugin-better-sidebar-plugin-office,true,https://github.com/HuanLinOTO/dsh-plugin-better-sidebar-plugin-office,
dsh-recall-plugin,DSH 消息撤回插件：回到发送该消息时的状态 DSH Message Recall Plugin: Return to the state when the message was sent,25,dsh plugin --profile web add github:limbo947/dsh-recall-plugin,true,https://github.com/limbo947/dsh-recall-plugin,https://raw.githubusercontent.com/limbo947/dsh-recall-plugin/HEAD/docs/screenshots/recall-button.png;https://raw.githubusercontent.com/limbo947/dsh-recall-plugin/HEAD/docs/screenshots/confirm-panel-1.png;https://raw.githubusercontent.com/limbo947/dsh-recall-plugin/HEAD/docs/screenshots/confirm-panel-2.png;https://raw.githubusercontent.com/limbo947/dsh-recall-plugin/HEAD/docs/screenshots/settings-exclude-2.png
SodaMem,Agentic memory infra for AI agents,25,dsh plugin --profile tui add dsh-plugin-sodamem,true,https://github.com/SodaMem/SodaMem,https://raw.githubusercontent.com/SodaMem/SodaMem/main/docs/assets/logo.webp;https://raw.githubusercontent.com/SodaMem/SodaMem/main/docs/assets/benchmark-cost-accuracy.webp;https://raw.githubusercontent.com/SodaMem/SodaMem/main/docs/assets/benchmark-longmemeval.webp;https://raw.githubusercontent.com/SodaMem/SodaMem/main/docs/assets/benchmark-locomo.webp
dsh-bridge,Chat with your local DSH from WeChat or QQ,25,dsh plugin --profile web add @wenbin_wb/dsh-bridge,true,https://github.com/wenbin-wb/dsh-bridge,https://raw.githubusercontent.com/wenbin-wb/dsh-bridge/HEAD/docs/screenshots/security-auth-config.jpg;https://raw.githubusercontent.com/wenbin-wb/dsh-bridge/HEAD/docs/screenshots/lan-access.jpg;https://raw.githubusercontent.com/wenbin-wb/dsh-bridge/HEAD/docs/screenshots/tunnel-access.jpg;https://raw.githubusercontent.com/wenbin-wb/dsh-bridge/HEAD/docs/screenshots/wechat-bot-config.jpg
dsh-plugin-workshop,Browse plugins the way you would browse Steam Workshop,25,"dsh plugin --profile web add ""github:yyyyukari/dsh-plugin-workshop""",true,https://github.com/yyyyukari/dsh-plugin-workshop,
HoloGram,"3D code dependency graph generator with built-in LLM agent. Language-agnostic (Python, TypeScript, Rust, Go, Java, C/C++, C#, Ruby, Kotlin, Swift, PHP, Lua). Coupling depth analysis, constraint gating, real-time file watching. Tauri 2 + Three.js + Rust engine.跨语言代码依赖拓扑图生成器 · 14 门语言统一 IR · 3D 全息星图 · 内置 AI Agent 双向联动 · 四级耦合诊断 · 桌面应用 / CLI 双模",24,dsh plugin --profile web add @a834063245/hologram-dsh,true,https://github.com/834063245-creator/HoloGram,https://raw.githubusercontent.com/834063245-creator/HoloGram/HEAD/assets/banner.png;https://raw.githubusercontent.com/834063245-creator/HoloGram/HEAD/assets/screenshots/01.png;https://raw.githubusercontent.com/834063245-creator/HoloGram/HEAD/assets/screenshots/02.png;https://raw.githubusercontent.com/834063245-creator/HoloGram/HEAD/assets/screenshots/03.png
dsh-skill-picker,"DSH 实现 workbuddy 同款选择 skill 功能 | WorkBuddy-style skill picker for DeepSeek Harness: pick a skill in the composer, insert the official /skill-name gesture, and DSH loads it with your message.",24,"dsh plugin --profile web add ""github:a735624258/dsh-skill-picker""",true,https://github.com/a735624258/dsh-skill-picker,
dsh-with-chatgpt,"Bring ChatGPT’s reasoning to your local codebase. Work directly, or delegate larger tasks to DSH.",24,dsh plugin --profile web add @beforewave/dsh-with-chatgpt,true,https://github.com/BeforeWave/dsh-with-chatgpt,https://github.com/user-attachments/assets/699b97c1-ea84-4f97-815d-3a00441dadad;https://github.com/user-attachments/assets/0265b053-5202-4fa4-9b52-94a7ca3b82d5;https://github.com/user-attachments/assets/e80b3a50-c68c-41c5-a80f-afec2b13fa1b
geml,"One format, two readers. People and AI agents now co-write the same document. Legible for people; addressable, verifiable, and versioned for machines. GEML is plain text — organized by one typed block for everything, remembered by a .gemlhistory sidecar.",24,dsh plugin --profile web add @geml/dsh-plugin,true,https://github.com/geml-spec/geml,https://raw.githubusercontent.com/geml-spec/geml/HEAD/docs/assets/codemap-render-ts.gif;https://raw.githubusercontent.com/geml-spec/geml/HEAD/docs/assets/logo/geml-logo-light.svg
dsh-diff-viewer,Get a nicer diff card for every edit,24,"dsh plugin --profile web add ""github:lehhair/dsh-diff-viewer""",true,https://github.com/lehhair/dsh-diff-viewer,https://github.com/user-attachments/assets/67b4db35-07e5-4fce-852d-bbe4ee33b695
dsh-custom-tool,Create and manage sandboxed JavaScript tools for DeepSeek Harness with a Monaco editor and model-driven tool lifecycle.,24,dsh plugin --profile web add https://github.com/omdsh-dev/dsh-custom-tool/archive/refs/tags/v0.1.2.tar.gz,true,https://github.com/omdsh-dev/dsh-custom-tool,https://raw.githubusercontent.com/omdsh-dev/dsh-custom-tool/HEAD/assets/screenshots/settings-section.png;https://raw.githubusercontent.com/omdsh-dev/dsh-custom-tool/HEAD/assets/screenshots/tool-editor.png
dsh-theme-endfield,终末地官网风格的 DSH Web 主题：奶油纸底、墨黑文字、信号黄强调、全直角工业编辑风。,24,dsh plugin --profile web add github:ymh0000123/dsh-theme-endfield,true,https://github.com/ymh0000123/dsh-theme-endfield,
dsh-agy,"Google Antigravity (agy) OAuth auth + model access plugin for DeepSeek Harness: multi-account pool, 429 rotation, device fingerprinting, CLI and web login.",23,dsh plugin --profile web add dsh-agy,true,https://github.com/chaos-03x/dsh-agy,https://raw.githubusercontent.com/chaos-03x/dsh-agy/main/assets/screenshot_en.png
dsh-balance,DeepSeek Harness balance plugin for the Settings page,23,dsh plugin --profile web add @pinkbanana/dsh-balance@latest,true,https://github.com/crazywoola/dsh-balance,https://raw.githubusercontent.com/crazywoola/dsh-balance/HEAD/docs/dsh-balance-settings-v040.png;https://raw.githubusercontent.com/crazywoola/dsh-balance/HEAD/docs/dsh-balance-composer-v040.png
dsh-file-review,Review a diff the moment the agent makes it,23,dsh plugin --profile web add dsh-file-review,true,https://github.com/left0ver/dsh-file-review,https://raw.githubusercontent.com/left0ver/dsh-file-review/HEAD/assests/preview.png
dsh-theme-cyberpunk2077,"Cyberpunk 2077 / Night City theme for the DeepSeek Harness Web UI — CRT scanlines, Kiroshi lock-on, typewriter SFX, Relic glitch & easter eggs",23,dsh plugin --profile web add dsh-theme-cyberpunk2077,true,https://github.com/Tommy00748/dsh-theme-cyberpunk2077,https://raw.githubusercontent.com/Tommy00748/dsh-theme-cyberpunk2077/HEAD/assets/screenshot.png;https://raw.githubusercontent.com/Tommy00748/dsh-theme-cyberpunk2077/HEAD/assets/relic-easter-egg.png
dsh-focus-chat,Read a simplified view of a session,22,dsh plugin --profile web add @dingyi222666/dsh-focus-chat,true,https://github.com/dingyi222666/dsh-focus-chat,https://raw.githubusercontent.com/dingyi222666/dsh-focus-chat/HEAD/screenshots/before.png;https://raw.githubusercontent.com/dingyi222666/dsh-focus-chat/HEAD/screenshots/after.png
dsh-full-remote,"Get an auditable, token-gated remote gateway",22,dsh plugin --profile web add dsh-full-remote,true,https://github.com/JUANWANG-BUAA/dsh-full-remote,https://repository-images.githubusercontent.com/1334709708/0b3d2336-758b-4fb4-915c-38a7940437cb;https://raw.githubusercontent.com/JUANWANG-BUAA/dsh-full-remote/main/docs/screenshots/preview-desktop.png;https://raw.githubusercontent.com/JUANWANG-BUAA/dsh-full-remote/main/docs/screenshots/preview-mobile.png;https://raw.githubusercontent.com/JUANWANG-BUAA/dsh-full-remote/main/docs/screenshots/preview-remote-confirm-mobile.png
dsh-personal-center,DeepSeek Harness 个人中心:用量统计 / 自定义指令 / 成本估算 / 桌面宠物(纯本地，不联网）。 Personal center & custom instructions for DSH,22,dsh plugin --profile web add github:PolinniZhong/dsh-personal-center,true,https://github.com/PolinniZhong/dsh-personal-center,https://raw.githubusercontent.com/PolinniZhong/dsh-personal-center/HEAD/docs/screenshots/light-profile.png;https://raw.githubusercontent.com/PolinniZhong/dsh-personal-center/HEAD/docs/screenshots/dark-review.png;https://raw.githubusercontent.com/PolinniZhong/dsh-personal-center/HEAD/docs/screenshots/light-pet.png;https://raw.githubusercontent.com/PolinniZhong/dsh-personal-center/HEAD/docs/screenshots/dark-pet.png
dsh-openmaic,"OpenMAIC for DeepSeek Harness: classrooms, slides, interactive widgets, and Socratic teaching",22,dsh plugin --profile web add git+https://github.com/THU-MAIC/dsh-openmaic.git,true,https://github.com/THU-MAIC/dsh-openmaic,
dsh-codex-sync,"The ultimate 2-way bridge between OpenAI Codex and DSH: bidirectional chat sync, live Skills mount & auto MCP mirroring.",22,dsh plugin --profile web add dsh-codex-sync,true,https://github.com/Walvez/dsh-codex-sync,https://raw.githubusercontent.com/Walvez/dsh-codex-sync/HEAD/docs/sync-settings-modal.png;https://raw.githubusercontent.com/Walvez/dsh-codex-sync/HEAD/docs/sidebar-entry.png;https://raw.githubusercontent.com/Walvez/dsh-codex-sync/HEAD/docs/import-picker.png;https://raw.githubusercontent.com/Walvez/dsh-codex-sync/HEAD/docs/export-picker.png
dsh-plugin-writing-guard,"DeepSeek Harness (DSH) academic writing guard for papers — 论文去AI味 / AI-writing style detection, evidence preservation, journal-fit calibration, manuscript proofreading, writing_audit & automatic checks. Local, zero network, zero LLM.",22,dsh plugin --profile web add github:xmutfyh/dsh-plugin-writing-guard,true,https://github.com/xmutfyh/dsh-plugin-writing-guard,
dsh-tether,Reach your dev machine with no server at all,22,dsh plugin --profile web add dsh-plugin-tether,true,https://github.com/zexadev/dsh-tether,https://raw.githubusercontent.com/zexadev/dsh-tether/HEAD/assets/banner.jpg;https://raw.githubusercontent.com/zexadev/dsh-tether/HEAD/assets/phone-cellular.png;https://raw.githubusercontent.com/zexadev/dsh-tether/HEAD/assets/phone-sidebar-drawer.png;https://raw.githubusercontent.com/zexadev/dsh-tether/HEAD/assets/phone-settings.png
rapid-mlx-dsh-provider,Run local MLX models as a native provider,21,dsh plugin --profile web add @raullenchai/dsh-provider,true,https://github.com/raullenchai/rapid-mlx-dsh-provider,
dsh-files,Upload a file and let the model actually read it,21,dsh plugin --profile web add dsh-files,true,https://github.com/taxueseek/dsh-files,https://raw.githubusercontent.com/taxueseek/dsh-files/HEAD/assets/readme/hero.svg;https://raw.githubusercontent.com/taxueseek/dsh-files/HEAD/assets/composer.png;https://raw.githubusercontent.com/taxueseek/dsh-files/HEAD/assets/upload-folder-images.png;https://raw.githubusercontent.com/taxueseek/dsh-files/HEAD/assets/native-image-dialog.png
blender,Drive Blender from a conversation,19,dsh plugin --profile web add dsh-blender,true,https://github.com/CheshireJCat/blender,https://raw.githubusercontent.com/CheshireJCat/blender/HEAD/assets/dsh-blender-lamp-preview.png
dsh-trading,Get a trading research workbench,18,dsh plugin --profile trading add @dsh-trading/bundle,true,https://github.com/maddogfinance/dsh-trading,https://raw.githubusercontent.com/maddogfinance/dsh-trading/HEAD/media/workbench-preview.gif;https://raw.githubusercontent.com/maddogfinance/dsh-trading/HEAD/media/demo-preview.gif
dsh-catppuccin-theme,Skin DSH with the Catppuccin palette,18,dsh plugin --profile web add @nonamelego/dsh-catppuccin,true,https://github.com/NoNameLeGo/dsh-catppuccin-theme,https://raw.githubusercontent.com/catppuccin/catppuccin/main/assets/logos/exports/1544x1544_circle.png;https://raw.githubusercontent.com/catppuccin/catppuccin/main/assets/misc/transparent.png;https://raw.githubusercontent.com/NoNameLeGo/dsh-catppuccin-theme/HEAD/assets/previews/combined.png;https://raw.githubusercontent.com/NoNameLeGo/dsh-catppuccin-theme/HEAD/assets/previews/glass-combined.png
dsh-robotic-harness,Run embodied-intelligence research from DSH,17,dsh plugin --profile rh-demo add ./packages/dsh-bundle,true,https://github.com/dingkaihu63/dsh-robotic-harness,https://raw.githubusercontent.com/dingkaihu63/dsh-robotic-harness/HEAD/docs/screenshots/demo-scene.png;https://raw.githubusercontent.com/dingkaihu63/dsh-robotic-harness/HEAD/docs/screenshots/demo-joints.png;https://raw.githubusercontent.com/dingkaihu63/dsh-robotic-harness/HEAD/docs/screenshots/demo-trajectory.png;https://raw.githubusercontent.com/dingkaihu63/dsh-robotic-harness/HEAD/docs/screenshots/demo-tracking.png
dsh-file-explorer,Get a real file tree in the sidebar,17,dsh plugin --profile web add dsh-file-explorer,true,https://github.com/joejojoking-cloud/dsh-file-explorer,
dsh-client-pricing,See the live model price in the session header,17,dsh plugin --profile web add dsh-client-pricing,true,https://github.com/Miyazawai/dsh-client-pricing,
reef,"Get browser automation, an MCP server, and GitHub or GitLab review in one install",16,dsh plugin --profile web add dsh-reef,true,https://github.com/huey1in/reef,https://raw.githubusercontent.com/huey1in/reef/HEAD/assets/icons/readme/icon-light.png
dsh-media-skills,Add a three-model vision and image-generation fallback chain,16,dsh plugin --profile web add github:MJorgin/dsh-media-skills,true,https://github.com/MJorgin/dsh-media-skills,https://raw.githubusercontent.com/MJorgin/dsh-media-skills/HEAD/docs/social-preview.png;https://raw.githubusercontent.com/MJorgin/dsh-media-skills/HEAD/docs/screenshots/demo-paste.png;https://raw.githubusercontent.com/MJorgin/dsh-media-skills/HEAD/docs/screenshots/how-it-works.png;https://raw.githubusercontent.com/MJorgin/dsh-media-skills/HEAD/examples/generated/fox-forest.jpg
dsh-plugin-yet-another-subagent,Configure sub-agent profiles instead of hardcoding them,15,dsh plugin --profile web add @huanlin/dsh-plugin-yet-another-subagent,true,https://github.com/HuanLinOTO/dsh-plugin-yet-another-subagent,
dsh-office,"Generate, read, and edit Office files in chat",15,dsh plugin --profile web add @huiliyi37/dsh-office,true,https://github.com/omdsh-dev/dsh-office,
dsh-better-edit,Cut the token cost of every file edit,15,dsh plugin --profile web add github:Rianico/dsh-better-edit,true,https://github.com/Rianico/dsh-better-edit,https://raw.githubusercontent.com/Rianico/dsh-better-edit/HEAD/assets/logo.svg;https://raw.githubusercontent.com/Rianico/dsh-better-edit/HEAD/assets/banner.svg
dsh-security-audit,Audit your own DSH install,14,dsh plugin --profile web add github:omdsh-dev/dsh-security-audit,true,https://github.com/omdsh-dev/dsh-security-audit,
dsh-reviewer-bot,Run a code review bot natively inside DSH,13,dsh plugin --profile web add @dshrb/bundle,true,https://github.com/chaojixinren/dsh-reviewer-bot,https://raw.githubusercontent.com/chaojixinren/dsh-reviewer-bot/HEAD/public/banner.svg;https://raw.githubusercontent.com/chaojixinren/dsh-reviewer-bot/HEAD/public/display1.png;https://raw.githubusercontent.com/chaojixinren/dsh-reviewer-bot/HEAD/public/display2.png
dsh-surfing-plugin,Wire in SearXNG search and a Crawl4AI fetch tool,13,dsh plugin --profile web add dsh-surfing-plugin,true,https://github.com/cyijun/dsh-surfing-plugin,
transcriptapi,Search YouTube and pull transcripts,8,curl -O https://raw.githubusercontent.com/ZeroPointRepo/awesome-dsh-plugins/main/mcp-configs/transcriptapi.cordis.yml,false,https://github.com/ZeroPointRepo/youtube-mcp,https://raw.githubusercontent.com/ZeroPointRepo/youtube-mcp/HEAD/public/brand/logo-512.png
zillapi,Look up Zillow property data,1,curl -O https://raw.githubusercontent.com/ZeroPointRepo/awesome-dsh-plugins/main/mcp-configs/zillapi.cordis.yml,false,https://github.com/ZeroPointRepo/zillow-mcp,https://raw.githubusercontent.com/ZeroPointRepo/zillow-mcp/HEAD/assets/zillapi-mcp.jpg;https://raw.githubusercontent.com/ZeroPointRepo/zillow-mcp/HEAD/assets/zillapi-cta.jpg
