name,description,stars,install_command,verified,repo_url,screenshots
dsh-damage-pulse,DeepSeek Harness Token 余额监控插件：鲸鱼娘待机/扣费/复苏动画、峰谷计费、连续扣费飘字与会话费用统计。,113,dsh plugin --profile web add github:wssfk12138/dsh-damage-pulse,true,https://github.com/wssfk12138/dsh-damage-pulse,https://raw.githubusercontent.com/wssfk12138/dsh-damage-pulse/HEAD/docs/assets/dsh-token-monitor-dual-showcase-r3-hq-color.gif;https://raw.githubusercontent.com/wssfk12138/dsh-damage-pulse/HEAD/docs/assets/dsh-damage-pulse-peak-valley-whale-poster.png;https://raw.githubusercontent.com/wssfk12138/dsh-damage-pulse/HEAD/docs/assets/readme/whale-girl-idle-bite-finger.png;https://raw.githubusercontent.com/wssfk12138/dsh-damage-pulse/HEAD/docs/assets/readme/whale-girl-critical-damage.png
argo,专门为 agent 打造的 agent 搜索工具，具备多语言搜索能力，覆盖中文/英文/学术/代码/购物/金融/新闻/百科。,108,"dsh plugin --profile web add ""github:taxueseek/argo""",true,https://github.com/taxueseek/argo,https://raw.githubusercontent.com/taxueseek/argo/HEAD/assets/readme/hero.svg;https://raw.githubusercontent.com/taxueseek/argo/HEAD/assets/readme/why-better.svg;https://raw.githubusercontent.com/taxueseek/argo/HEAD/assets/readme/proof-routes.svg;https://raw.githubusercontent.com/taxueseek/argo/HEAD/assets/readme/workflow.svg
dsh-crew,"DeepSeek Harness (DSH) plugin: dispatch work to DSH agents from Claude Code / Codex — native subagent progress, in-host worker sessions with per-tier presets, and a multimodal bridge that lends the text-only harness vision and image generation.",108,dsh plugin --profile web add @zseven-w/dsh-crew@latest,true,https://github.com/ZSeven-W/dsh-crew,https://raw.githubusercontent.com/ZSeven-W/dsh-crew/HEAD/docs/images/dsh-crew-logo.png;https://raw.githubusercontent.com/ZSeven-W/dsh-crew/HEAD/docs/images/dsh-crew-overview.png;https://raw.githubusercontent.com/ZSeven-W/dsh-crew/HEAD/docs/images/dsh-crew-host.png;https://raw.githubusercontent.com/ZSeven-W/dsh-crew/HEAD/docs/images/dsh-crew-jobs.png
dsh-reasoning-effort,DSH适用的Codex风格的思考强度滑块，以及大肥鱼跑步滑块。Codex-style model and reasoning-effort slider for DeepSeek Harness,107,dsh plugin --profile web add github:HanaAyane/dsh-reasoning-effort#main,true,https://github.com/HanaAyane/dsh-reasoning-effort,https://raw.githubusercontent.com/HanaAyane/dsh-reasoning-effort/HEAD/assets/readme/hero.webp;https://raw.githubusercontent.com/HanaAyane/dsh-reasoning-effort/HEAD/assets/readme/themes.webp;https://raw.githubusercontent.com/HanaAyane/dsh-reasoning-effort/HEAD/assets/readme/settings.webp
dsh-android,"DeepSeek Harness plugin for Android — build, run, and interact with a live emulator or USB device stream inside a conversation, driven entirely through adb.",105,dsh plugin --profile web add @zseven-w/dsh-android@latest,true,https://github.com/ZSeven-W/dsh-android,https://raw.githubusercontent.com/ZSeven-W/dsh-android/HEAD/docs/images/dsh-android-logo.png;https://raw.githubusercontent.com/ZSeven-W/dsh-android/HEAD/docs/images/dsh-android-overview.png
deep-whale-day-night-theme,DeepSeek Harness 完整非商业 Deep Whale 昼夜主题：水晶白昼、月潮夜晚、角色/Q版宠物、鲸鱼花边、玻璃面板、动态氛围、完整素材与可安装构建。仅限个人及其他非商业使用，禁止商用。Complete day/night UI theme; personal and non-commercial use only.,104,dsh plugin --profile web add git+https://github.com/GGBond2424648901/deep-whale-day-night-theme.git#runtime,true,https://github.com/GGBond2424648901/deep-whale-day-night-theme,https://raw.githubusercontent.com/GGBond2424648901/deep-whale-day-night-theme/HEAD/screenshots/day.png;https://raw.githubusercontent.com/GGBond2424648901/deep-whale-day-night-theme/HEAD/screenshots/night.png
dsh-turn-rewind,Roll a conversation and the workspace back together,100,dsh plugin --profile web add @anionex/dsh-turn-rewind,true,https://github.com/Anionex/dsh-turn-rewind,https://raw.githubusercontent.com/Anionex/dsh-turn-rewind/HEAD/docs/assets/turn-rewind-action.png;https://raw.githubusercontent.com/Anionex/dsh-turn-rewind/HEAD/docs/assets/turn-rewind-dialog.png
dsh-chat-import,"Import 14+ external agent chat histories (Claude Code, Codex, ChatGPT, Cursor, Gemini, Reasonix, opencode, ZCode, Grok Build, OpenClaw, Pi, Hermes, Kimi CLI, DSH) into DeepSeek Harness as resumable sessions — full-fidelity, reverse export/sync, bundle backup. | 从 Claude Code、Codex、Reasonix 等 Agent 工具导入历史消息到 DeepSeek Harness 并继续对话。",100,dsh plugin --profile web add dsh-chat-import,true,https://github.com/Nwflower/dsh-chat-import,https://raw.githubusercontent.com/Nwflower/dsh-chat-import/HEAD/assets/qoder.png
dsh-webui-market-plugin,"dsh Web GUI 社区插件市场：浏览 awesome-dsh-plugin.com 插件目录，一键安装/卸载到 profile。Community plugin market for the DeepSeek Harness (dsh) web GUI: browse, install and uninstall plugins into a profile.",100,dsh plugin --profile web add @sanqi-normal/dsh-webui-market-plugin,true,https://github.com/Sanqi-normal/dsh-webui-market-plugin,https://raw.githubusercontent.com/Sanqi-normal/dsh-webui-market-plugin/HEAD/img/51766e7935d9e67d7087510e4d6b0cb8.png
dsh_workflow,Turn one-shot multi-agent runs into a saved workflow,99,"dsh plugin --profile web add ""github:dsh-external/dsh_workflow#main""",true,https://github.com/omdsh-dev/dsh_workflow,
dsh-univer-office,"Preview and edit spreadsheets, docs, and slides inline",98,dsh plugin --profile web add dsh-univer-office,true,https://github.com/dream-num/dsh-univer-office,https://raw.githubusercontent.com/dream-num/dsh-univer-office/HEAD/docs/assets/readme/chart-and-formatting.png;https://raw.githubusercontent.com/dream-num/dsh-univer-office/HEAD/docs/assets/readme/spreadsheet-request.png;https://raw.githubusercontent.com/dream-num/dsh-univer-office/HEAD/docs/assets/readme/live-worktree.png;https://raw.githubusercontent.com/dream-num/dsh-univer-office/HEAD/docs/assets/readme/review-result.png
dsh-skill-mcp-panel,DSH Web UI plugin: skill and MCP management（Web界面的skill/MCP管理工具）,98,dsh plugin --profile web add github:Fishquito7/dsh-skill-mcp-panel,true,https://github.com/Fishquito7/dsh-skill-mcp-panel,https://github.com/user-attachments/assets/63ca0431-c920-4ae3-94c7-2839d78a7896;https://github.com/user-attachments/assets/16023783-9196-46c1-8a64-df28f23f5bdd
odai,"AI agent 通用任务治理框架：对齐目标与事实，规划和调度能力，守住授权与风险边界，治理任务执行到真实验收与交付。Governance framework for evidence-driven planning, orchestration, and verified delivery.",97,dsh plugin --profile web add odai-dsh-plugin,true,https://github.com/orziz/odai,https://repository-images.githubusercontent.com/1185828998/3482ba40-4385-41d0-b1af-71c73bb5604b;https://raw.githubusercontent.com/orziz/odai/HEAD/assets/odai-readme-badge.png
dsh-tabbit,Tabbit Browser plugins for Deepseek Harness,96,dsh plugin --profile web add github:Tabbit-Browser/dsh-tabbit,true,https://github.com/Tabbit-Browser/dsh-tabbit,https://repository-images.githubusercontent.com/1334076307/309d9c9f-0d59-43b8-b83f-93029da00270;https://raw.githubusercontent.com/Tabbit-Browser/dsh-tabbit/HEAD/tabbit-for-dsh.png?v=2
dsh-commandcode-provider,"Unofficial DeepSeek Harness LLM provider plugin for Command Code: live model catalog, reasoning-effort support, Models-page card. Ported from pi-commandcode-provider.",95,dsh plugin --profile web add @mars-sea/dsh-commandcode-provider@latest,true,https://github.com/Mars-Sea/dsh-commandcode-provider,https://raw.githubusercontent.com/Mars-Sea/dsh-commandcode-provider/HEAD/assets/screenshots/model-picker.png;https://raw.githubusercontent.com/Mars-Sea/dsh-commandcode-provider/HEAD/assets/screenshots/usage-dashboard.png;https://raw.githubusercontent.com/Mars-Sea/dsh-commandcode-provider/HEAD/assets/screenshots/settings-page.png
dsh-annotation,DSH Web 选中批注插件：选文字→批注→回车随消息发送；气泡隐藏批注块（零闪烁）；回复按 Annotation N 逐条对照（可悬浮芯片）。官方 bundle，零核心改动,95,dsh plugin --profile web add git+https://github.com/omdsh-dev/dsh-annotation.git,true,https://github.com/omdsh-dev/dsh-annotation,https://github.com/user-attachments/assets/c3186efc-44d3-4e7f-9523-1902d9d037e9;https://github.com/user-attachments/assets/0b48ac02-4648-4b94-8d8f-344f8b7c25b4;https://github.com/user-attachments/assets/8b2610d0-3d00-41be-b314-bac2fe616787;https://github.com/user-attachments/assets/9b66deea-3786-4296-9b0d-52873a15f5e1
dsh-dream-skin,DeepSeek Harness 换肤 / 壁纸 / 主题包插件 (dsh-plugin) — 8 套 Mirage 主题、每用户强调色、壁纸2.0、主题包导入导出/分享链接、收藏与随机，纯原生 token 系统实现。,95,dsh plugin --profile web add dsh-dream-skin,true,https://github.com/RevolutionLA/dsh-dream-skin,https://raw.githubusercontent.com/RevolutionLA/dsh-dream-skin/HEAD/docs/screenshots/preview.png;https://raw.githubusercontent.com/RevolutionLA/dsh-dream-skin/HEAD/docs/screenshots/settings.png;https://raw.githubusercontent.com/RevolutionLA/dsh-dream-skin/HEAD/docs/previews/abyss.png;https://raw.githubusercontent.com/RevolutionLA/dsh-dream-skin/HEAD/docs/previews/aurora.png
dsh-auto-review,Have a second model review approval requests,91,dsh plugin --profile web add dsh-auto-review,true,https://github.com/PerryLink/dsh-auto-review,
dsh-evolve-modes,"让 Agent 的工作方式可组合、可审查、可持续改进，最终实现 Agent Self Evoling。 DeepSeek Harness Web plugin with composable task controls and isolated, human-reviewed self-evolution.",86,dsh plugin --profile web add @graysilver/dsh-evolve-modes@0.3.1,true,https://github.com/GraySilver/dsh-evolve-modes,https://raw.githubusercontent.com/GraySilver/dsh-evolve-modes/main/assets/social-preview.png;https://raw.githubusercontent.com/GraySilver/dsh-evolve-modes/main/assets/evolve-modes-review.png
dsh-skin-market,DeepSeek Harness skin market 皮肤市场 已收录200+DSH 皮肤 完善评分系统加人工审核，有便捷的社区收录入口；有在线页面方便在线浏览，也有插件方便管理本地皮肤,84,"dsh plugin --profile web add ""dsh-skin-market@latest""",true,https://github.com/kingOfSoySauce/dsh-skin-market,https://raw.githubusercontent.com/kingOfSoySauce/dsh-skin-market/HEAD/docs/assets/skin-market-liang.png;https://raw.githubusercontent.com/kingOfSoySauce/dsh-skin-market/HEAD/docs/assets/skin-market-deep-whale.png
superpowers-dsh,"Superpowers skills for DeepSeek Harness: TDD, debugging, planning, and collaboration skills adapted from obra/superpowers",84,dsh plugin --profile web add https://github.com/LayneChai/superpowers-dsh.git,true,https://github.com/LayneChai/superpowers-dsh,https://repository-images.githubusercontent.com/1333750613/9ba3b21d-7290-4d8a-98e8-6dc0980b2fc6;https://raw.githubusercontent.com/LayneChai/superpowers-dsh/HEAD/static/home.png;https://raw.githubusercontent.com/LayneChai/superpowers-dsh/HEAD/static/install-success.png
dsh-find-plugin,Ask your agent to find a plugin for you,83,dsh plugin --profile web add dsh-find-plugin,true,https://github.com/awesome-dsh-plugin/dsh-find-plugin,https://raw.githubusercontent.com/awesome-dsh-plugin/dsh-find-plugin/main/assets/demo-en.png
dsh-popout-sidebar,A sidebar can pop out a separate browser tab (drag it to another monitor),80,dsh plugin --profile web add github:e2mcc/dsh-popout-sidebar,true,https://github.com/e2mcc/dsh-popout-sidebar,
arc,"Agent Research Copilot (ARC) is a set of skills and tools (CLI) for theoretical physics literature review, idea generation and performing calculations.",80,dsh plugin --profile arc add github:tririver/arc,true,https://github.com/tririver/arc,
